Colony,ID,Age,Foraging,Nursing,Guarding,Incidental,Manipulating,Carrying,Antennating
43,YDG,12d,,6,1,2,3,,
43,YW,12d,1,2,,2,0,,
43,YPI,12d,,4,2,0,2,,
43,YY,12d,,1,1,0,0,,
43,YO,12d,,4,,3,1,,
43,YR,12d,,6,2,2,2,,
43,YLG,12d,,5,4,0,1,,
43,YLB,12d,,2,,1,1,,
43,YDB,12d,,3,,2,1,,
43,YPU,12d,,1,,1,0,,
43,OPI,12d,,4,1,1,2,,
43,OY,12d,,5,3,1,1,,
43,OO,12d,,4,2,1,1,,
43,OR,12d,,5,1,1,3,,
43,OLG,12d,,5,3,0,2,,
43,OLB,12d,1,3,2,1,0,,
43,ODB,12d,,2,1,0,1,,
43,OPU,12d,,3,1,0,2,,
43,RPI,12d,,3,,2,1,,
43,RY,12d,,2,2,0,0,,
43,RO,12d,,2,1,0,1,,
43,RR,12d,,1,,1,0,,
43,RLG,12d,,7,5,0,2,,
43,RLB,12d,,2,2,0,0,,
43,RDB,12d,,5,2,3,0,,
43,RPU,12d,,3,1,1,1,,
43,PIPI,12d,,4,,3,1,,
43,PIY,12d,,2,1,0,1,,
43,PIO,12d,,6,5,1,0,,
43,PIR,12d,,3,1,0,2,,
43,LGPI,4m,,2,,1,1,,
43,LGY,4m,1,1,,0,1,,
43,LGO,4m,1,1,,1,0,,
43,LGR,4m,1,4,1,1,2,,
43,LGLG,4m,,2,,0,2,,
43,LGLB,4m,,2,,0,2,,
43,LGDB,4m,1,3,,1,2,,
43,LGPU,4m,,4,,0,4,,
43,LBPI,4m,2,,,0,0,,
43,LBY,4m,1,2,,1,1,,
43,LBO,4m,3,2,,0,1,1,
43,LBR,4m,,3,,1,2,,
43,LBLG,4m,,2,,1,1,,
43,LBLB,4m,,3,,1,2,,
43,LBDB,4m,,4,,1,2,1,
43,LBPU,4m,,1,,0,1,,
43,PUPI,4m,,1,,0,1,,
43,PUY,4m,1,,,0,0,,
43,PUO,4m,1,2,,1,1,,
43,PUR,4m,1,,,0,0,,
43,PULG,4m,,1,,0,1,,
43,PULB,4m,2,,,0,0,,
43,PUDB,4m,,1,,0,1,,
43,PUPU,4m,,1,,0,1,,
43,DBPI,4m,2,,,0,0,,
43,DBO,4m,,2,2,0,0,,
43,DBR,4m,1,1,,0,1,,
43,DBLG,4m,,3,,0,3,,
43,DBLB,4m,1,,,0,0,,
43,DBDB,4m,1,1,,1,0,,
50,YDG,12d,1,2,,0,2,,
50,YW,12d,,4,4,0,0,,
50,YPI,12d,,3,2,0,1,,
50,YY,12d,1,3,2,1,0,,
50,YO,12d,,7,1,2,4,,
50,YR,12d,,4,1,2,1,,
50,YLG,12d,1,4,1,1,2,,
50,YLB,12d,,2,1,0,1,,
50,YDB,12d,,2,,2,0,,
50,YPU,12d,,5,2,2,1,,
50,OPI,12d,,5,2,2,1,,
50,OY,12d,,8,4,0,4,,
50,OO,12d,,4,2,1,1,,
50,OR,12d,,5,3,1,1,,
50,OLG,12d,,4,1,2,1,,
50,OLB,12d,1,2,1,1,0,,
50,ODB,12d,,8,4,2,2,,
50,OPU,12d,,6,,4,2,,
50,RPI,12d,,5,2,2,1,,
50,RY,12d,,5,3,2,0,,
50,RO,12d,,4,,0,4,,
50,RR,12d,1,3,1,1,1,,
50,RLG,12d,,4,1,0,3,,
50,RLB,12d,1,6,1,1,4,,
50,RDB,12d,,5,1,2,2,,
50,RPU,12d,,3,,1,2,,
50,PIPI,12d,,5,,0,4,1,
50,PIY,12d,,4,1,2,1,,
50,PIO,12d,,6,5,0,1,,
